operationNumber, size, height, averageNodeDepth, timeForOperation, operationType
0, 999, 11, 9.183183, 0.011000, remove
5, 997, 11, 9.180542, 0.010000, remove
10, 996, 11, 9.191767, 0.008000, search
15, 993, 11, 9.188318, 0.011000, remove
20, 992, 11, 9.197581, 0.008000, search
25, 993, 11, 9.210473, 0.007000, search
30, 989, 11, 9.215369, 0.007000, search
35, 993, 11, 9.220544, 0.011000, insert
40, 990, 11, 9.217172, 0.010000, insert
45, 991, 11, 9.217962, 0.011000, remove
50, 991, 11, 9.230071, 0.008000, search
55, 990, 11, 9.229293, 0.011000, insert
60, 989, 11, 9.228514, 0.019000, insert
65, 990, 11, 9.240404, 0.006000, search
70, 990, 11, 9.239394, 0.012000, insert
75, 994, 11, 9.244467, 0.011000, insert
80, 994, 11, 9.245473, 0.011000, remove
85, 997, 11, 9.250752, 0.011000, insert
90, 998, 11, 9.250501, 0.011000, insert
95, 998, 11, 9.248497, 0.008000, remove
100, 1000, 11, 9.252000, 0.012000, insert
105, 999, 11, 9.250250, 0.012000, insert
110, 1000, 11, 9.251000, 0.011000, remove
115, 998, 11, 9.248497, 0.009000, remove
120, 997, 11, 9.245737, 0.011000, remove
125, 998, 11, 9.256513, 0.007000, search
130, 1000, 11, 9.258000, 0.011000, insert
135, 1000, 11, 9.268000, 0.008000, search
140, 998, 11, 9.266533, 0.011000, remove
145, 999, 11, 9.278278, 0.008000, search
150, 999, 11, 9.279279, 0.010000, remove
155, 1000, 11, 9.281000, 0.011000, remove
160, 999, 11, 9.290290, 0.008000, search
165, 996, 11, 9.297189, 0.008000, search
170, 994, 11, 9.295775, 0.010000, insert
175, 995, 11, 9.296482, 0.012000, insert
180, 993, 11, 9.297080, 0.011000, remove
185, 991, 11, 9.305752, 0.008000, search
190, 989, 11, 9.313448, 0.007000, search
195, 987, 11, 9.321175, 0.007000, search
200, 990, 11, 9.335354, 0.008000, search
205, 986, 11, 9.340771, 0.008000, search
210, 984, 11, 9.338415, 0.008000, insert
215, 988, 11, 9.344130, 0.008000, insert
220, 989, 11, 9.354904, 0.008000, search
225, 988, 11, 9.353239, 0.009000, insert
230, 988, 11, 9.355263, 0.010000, insert
235, 989, 11, 9.354904, 0.012000, insert
240, 988, 11, 9.364372, 0.005000, search
245, 988, 11, 9.377530, 0.006000, search
250, 986, 11, 9.377282, 0.010000, insert
255, 983, 11, 9.384537, 0.009000, search
260, 985, 11, 9.388832, 0.014000, insert
265, 984, 11, 9.398374, 0.008000, search
270, 987, 11, 9.405268, 0.014000, insert
275, 988, 11, 9.404858, 0.011000, remove
280, 990, 11, 9.407071, 0.014000, insert
285, 988, 11, 9.404858, 0.012000, insert
290, 987, 11, 9.403242, 0.011000, insert
295, 987, 11, 9.401216, 0.011000, remove
300, 987, 11, 9.401216, 0.010000, remove
305, 989, 11, 9.404449, 0.010000, remove
310, 990, 11, 9.416162, 0.007000, search
315, 990, 11, 9.417172, 0.012000, insert
320, 992, 11, 9.420363, 0.013000, insert
325, 991, 11, 9.416751, 0.012000, remove
330, 990, 11, 9.415152, 0.012000, remove
335, 990, 11, 9.417172, 0.013000, insert
340, 991, 11, 9.416751, 0.012000, insert
345, 988, 11, 9.412955, 0.012000, remove
350, 988, 11, 9.426113, 0.009000, search
355, 987, 11, 9.425532, 0.011000, remove
360, 985, 11, 9.434518, 0.009000, search
365, 987, 11, 9.436677, 0.013000, insert
370, 986, 11, 9.447262, 0.008000, search
375, 985, 11, 9.458883, 0.008000, search
380, 982, 11, 9.467413, 0.007000, search
