
operationNumber, size, height, averageNodeDepth, timeForOperation, operationType
0, 99999, 17, 15.868799, 0.007000, remove
5, 99997, 17, 15.868786, 0.006000, remove
10, 99996, 17, 15.868965, 0.004000, search
15, 99993, 17, 15.868961, 0.005000, remove
20, 99992, 17, 15.869120, 0.004000, search
25, 99993, 17, 15.869311, 0.004000, search
30, 99989, 17, 15.869436, 0.005000, search
35, 99993, 17, 15.869481, 0.007000, insert
40, 99990, 17, 15.869447, 0.007000, insert
45, 99991, 17, 15.869458, 0.006000, remove
50, 99991, 17, 15.869628, 0.005000, search
55, 99990, 17, 15.869647, 0.008000, insert
60, 99989, 17, 15.869646, 0.006000, insert
65, 99990, 17, 15.869827, 0.005000, search
70, 99990, 17, 15.869817, 0.007000, insert
75, 99994, 17, 15.869852, 0.007000, insert
80, 99994, 17, 15.869862, 0.007000, remove
85, 99997, 17, 15.869896, 0.008000, insert
90, 99998, 17, 15.869917, 0.006000, insert
95, 99998, 17, 15.869947, 0.006000, remove
100, 100000, 17, 15.870000, 0.006000, insert
105, 99999, 17, 15.869989, 0.006000, insert
110, 100000, 17, 15.870020, 0.008000, remove
115, 99998, 17, 15.869997, 0.006000, remove
120, 99997, 17, 15.869976, 0.006000, remove
125, 99998, 17, 15.870177, 0.004000, search
130, 100000, 17, 15.870200, 0.007000, insert
135, 100000, 17, 15.870410, 0.004000, search
140, 99998, 17, 15.870397, 0.007000, remove
145, 99999, 17, 15.870599, 0.004000, search
150, 99999, 17, 15.870599, 0.006000, remove
155, 100000, 17, 15.870590, 0.006000, remove
160, 99999, 17, 15.870739, 0.004000, search
165, 99996, 17, 15.870865, 0.004000, search
170, 99994, 17, 15.870832, 0.008000, insert
175, 99995, 17, 15.870874, 0.007000, insert
180, 99993, 17, 15.870841, 0.007000, remove
185, 99991, 17, 15.870988, 0.004000, search
190, 99989, 17, 15.871136, 0.005000, search
195, 99987, 17, 15.871303, 0.003000, search
200, 99990, 17, 15.871517, 0.005000, search
205, 99986, 17, 15.871622, 0.004000, search
210, 99984, 17, 15.871619, 0.007000, insert
215, 99988, 17, 15.871665, 0.007000, insert
220, 99989, 17, 15.871856, 0.005000, search
225, 99988, 17, 15.871825, 0.006000, insert
230, 99988, 17, 15.871845, 0.007000, insert
235, 99989, 17, 15.871846, 0.007000, insert
240, 99988, 17, 15.872015, 0.004000, search
245, 99988, 17, 15.872195, 0.005000, search
250, 99986, 17, 15.872192, 0.007000, insert
255, 99983, 17, 15.872348, 0.004000, search
260, 99985, 17, 15.872401, 0.007000, insert
265, 99984, 17, 15.872550, 0.004000, search
270, 99987, 17, 15.872593, 0.007000, insert
275, 99988, 17, 15.872615, 0.006000, remove
280, 99990, 17, 15.872637, 0.007000, insert
285, 99988, 17, 15.872635, 0.007000, insert
290, 99987, 17, 15.872613, 0.007000, insert
295, 99987, 17, 15.872603, 0.006000, remove
300, 99987, 17, 15.872603, 0.006000, remove
305, 99989, 17, 15.872626, 0.007000, remove
310, 99990, 17, 15.872797, 0.004000, search
315, 99990, 17, 15.872777, 0.006000, insert
320, 99992, 17, 15.872810, 0.007000, insert
325, 99991, 17, 15.872809, 0.004000, remove
330, 99990, 17, 15.872807, 0.003000, remove
335, 99990, 17, 15.872817, 0.003000, insert
340, 99991, 17, 15.872849, 0.007000, insert
345, 99988, 17, 15.872815, 0.007000, remove
350, 99988, 17, 15.872965, 0.004000, search
355, 99987, 17, 15.872963, 0.006000, remove
360, 99985, 17, 15.873111, 0.004000, search
365, 99987, 17, 15.873154, 0.008000, insert
370, 99986, 17, 15.873322, 0.005000, search
375, 99985, 17, 15.873481, 0.005000, search
380, 99982, 17, 15.873597, 0.004000, search
385, 99978, 17, 15.873532, 0.007000, remove
390, 99977, 17, 15.873511, 0.007000, insert
395, 99974, 17, 15.873677, 0.004000, search
400, 99976, 17, 15.873710, 0.007000, insert
405, 99977, 17, 15.873721, 0.007000, insert
410, 99979, 17, 15.873733, 0.006000, insert
415, 99979, 17, 15.873713, 0.007000, insert
420, 99979, 17, 15.873904, 0.005000, search
425, 99980, 17, 15.873905, 0.007000, remove
430, 99978, 17, 15.874062, 0.004000, search
435, 99978, 17, 15.874092, 0.007000, remove
440, 99978, 17, 15.874122, 0.006000, remove
445, 99980, 17, 15.874305, 0.004000, search
450, 99978, 17, 15.874262, 0.007000, remove
455, 99977, 17, 15.874241, 0.006000, remove
460, 99978, 17, 15.874422, 0.004000, search
465, 99977, 17, 15.874581, 0.004000, search
470, 99977, 17, 15.874591, 0.007000, insert
475, 99979, 17, 15.874614, 0.007000, insert
480, 99978, 17, 15.874612, 0.007000, insert
485, 99977, 17, 15.874591, 0.006000, insert
490, 99976, 17, 15.874760, 0.004000, search
495, 99977, 17, 15.874941, 0.011000, search
500, 99978, 17, 15.875123, 0.005000, search
505, 99981, 17, 15.875336, 0.005000, search
510, 99984, 17, 15.875520, 0.004000, search
515, 99986, 17, 15.875563, 0.007000, remove
520, 99986, 17, 15.875563, 0.007000, insert
525, 99985, 17, 15.875561, 0.007000, insert
530, 99987, 17, 15.875584, 0.006000, insert
535, 99985, 17, 15.875571, 0.006000, remove
540, 99985, 17, 15.875571, 0.006000, remove
545, 99983, 17, 15.875589, 0.005000, remove
550, 99984, 17, 15.875790, 0.005000, search
555, 99983, 17, 15.875939, 0.004000, search
560, 99983, 17, 15.875959, 0.007000, remove
