operationNumber, size, height, averageNodeDepth, timeForOperation, operationType
0, 49, 3, 0.204082, 0.007000, remove
5, 49, 2, 0.224490, 0.003000, search
10, 48, 2, 0.229167, 0.002000, search
15, 47, 2, 0.234043, 0.003000, search
20, 47, 4, 0.425532, 0.004000, insert
25, 47, 4, 0.510638, 0.002000, search
30, 46, 4, 0.608696, 0.001000, insert
35, 45, 4, 0.688889, 0.002000, insert
40, 46, 5, 0.913043, 0.003000, remove
45, 49, 6, 1.244898, 0.001000, insert
50, 49, 6, 1.367347, 0.002000, insert
55, 49, 6, 1.448980, 0.002000, remove
60, 47, 6, 1.531915, 0.002000, remove
65, 52, 7, 1.980769, 0.002000, insert
70, 51, 7, 2.078431, 0.002000, remove
75, 51, 8, 2.254902, 0.003000, remove
80, 50, 8, 2.380000, 0.002000, search
85, 49, 8, 2.489796, 0.003000, insert
90, 50, 8, 2.680000, 0.002000, remove
95, 50, 8, 2.680000, 0.002000, search
100, 52, 8, 2.750000, 0.002000, search
105, 51, 8, 2.941176, 0.004000, insert
110, 52, 8, 3.038462, 0.002000, search
115, 51, 8, 3.274510, 0.004000, insert
120, 51, 8, 3.372549, 0.002000, search
125, 50, 8, 3.560000, 0.003000, insert
130, 49, 9, 3.836735, 0.005000, insert
135, 52, 9, 3.711538, 0.003000, insert
140, 55, 9, 3.818182, 0.004000, insert
145, 53, 9, 3.962264, 0.003000, insert
150, 51, 9, 4.117647, 0.002000, remove
155, 52, 9, 4.288462, 0.002000, search
160, 54, 8, 4.240741, 0.003000, insert
165, 52, 8, 4.403846, 0.003000, remove
170, 54, 8, 4.240741, 0.002000, insert
175, 52, 9, 4.596154, 0.003000, search
180, 49, 9, 4.877551, 0.004000, search
185, 51, 9, 4.960784, 0.004000, search
190, 51, 9, 5.117647, 0.004000, search
195, 50, 9, 5.360000, 0.002000, insert
200, 50, 9, 5.360000, 0.004000, insert
205, 51, 9, 5.666667, 0.005000, insert
210, 49, 9, 6.081633, 0.004000, search
215, 49, 9, 6.183673, 0.003000, search
220, 49, 9, 6.306122, 0.004000, remove
